league_id_x,draft_id,draft_order,scoring_type,season,type,status,rounds,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_super_flex,slots_bn,league_id_y,draft_slot,pick_no,is_keeper,player_first,player_last,player_id,position,roster_id,picked_by
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,5,136,,Joshua,Palmer,7670,WR,5,1016534587410915328
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,4,137,,Chuba,Hubbard,7594,RB,4,1134576781362872320
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,3,138,,Luke,Musgrave,9481,TE,3,881749207281934336
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,2,139,,Jakobi,Meyers,5947,WR,2,1134602288040972288
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,1,140,,Zach,Charbonnet,9753,RB,1,999222329567686656
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,1,141,,Antonio,Gibson,6945,RB,1,999222329567686656
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,2,142,,Romeo,Doubs,8121,WR,2,1134602288040972288
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,3,143,,Cade,Otton,8111,TE,3,881749207281934336
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,4,144,,Rico,Dowdle,7021,RB,4,1134576781362872320
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,5,145,,J.K.,Dobbins,6806,RB,5,1016534587410915328
